No	| English	| Vietnamese
615	| confront	| đối mặt, đối diện, đối chiếu
616	| confuse	| làm lộn xộn, xáo trộn
617	| confused	| bối rối, lúng túng, ngượng
618	| confusing	| khó hiểu, gây bối rối
619	| confusion	| sự lộn xộn, sự rối loạn
620	| congratulations	| sự chúc mưng, khen ngợi; lời chúc mưng, khen ngợi (s)
621	| congress	| đại hội, hội nghị, quốc hội
622	| connect	| kết nối, nối
623	| connection	| sự kết nối, sự giao kết
624	| conscious	| tỉnh táo, có ý thức, biết rõ
625	| consequence	| kết quả, hậu quả
626	| conservative	| thận trọng, dè dặt, bảo thủ
627	| consider	| cân nhắc, xem xét; để ý, quan tâm, lưu ý đến
628	| considerable	| lớn lao, to tát, đáng kể
629	| considerably	| đáng kể, lớn lao, nhiều
630	| consideration	| sự cân nhắc, sự xem xét, sự để ý sự quan tâm
631	| consist of	| gồm có
632	| constant	| kiên trì, bền lòng
633	| constantly	| kiên định
634	| construct	| xây dựng
635	| construction	| sự xây dựng
636	| consult	| tracứu,thamkhảo,thămdò,hỏiý kiến
637	| consumer	| người tiêu dùng
638	| contact	| sự liên lạc, sự giao thiệp; tiếp xúc
639	| contain	| bao hàm, chứa đựng, bao gồm
640	| container	| cái đựng, chứa; công te nơ
641	| contemporary	| đương thời, đương đại
642	| content	| nội dung, sự hài lòng
643	| contest	| cuộc thi,trận đấu,cuộctranh luậncuộcchiếnđấu,chiếntranh
644	| context	| văn cảnh, khung cảnh, phạm vi
645	| continent	| lục địa, đại lục (lục địa bắc mỹ)
646	| continue	| tiếp tục, làm tiếp
647	| continuous	| liên tục, liên tiếp
648	| continuously	| liên tục, liên tiếp
649	| contract	| hợp đồng,sự kýhợp đồng;kýkết
650	| contrast	| sự tương phản; làm tương phản, làm trái ngược
651	| contrasting	| tương phản
652	| contribute	| đóng góp, ghóp phần
653	| contribution	| sự đóng góp, sự góp phần
654	| control	| sự điềukhiển,quyềnhành,quyềnlực,quyềnchỉhuy
655	| controlled	| được điều khiển, được kiểm tra
656	| convenient	| tiện lợi, thuận lợi, thích hợp
657	| convention	| hội nghị, hiệp định, quy ước
658	| conventional	| quy ước
659	| conversation	| cuộc đàm thoại, cuộc trò chuyện
660	| convert	| đổi, biến đổi
661	| convince	| làm cho tin, thuyết phục; làm cho nhận thức thấy
662	| cook	| nấu ăn, người nấu ăn
663	| cooker	| lò, bếp, nồi nấu
664	| cookie	| bánh quy
665	| cooking	| sự nấu ăn, cách nấu ăn
666	| cool	| mát mẻ, điềm tĩnh; làm mát,
667	| cope (+ with)	| đối phó, đương đầu
668	| copy	| bản sao, bản chép lại; sự sao chép; sao chép, bắt chước
669	| core	| nòng cốt, hạt nhân; đáy lòng
670	| corner	| góc(tường,nhà,phố...)
671	| correct	| đúng, chính xác; sửa, sửa chữa
672	| correctly	| đúng, chính xác
673	| cost	| giá, chi phí; trả giá, phải trả
674	| cottage	| nhà tranh
675	| cotton	| bông, chỉ, sợi
676	| cough	| ho,sựho,tiếnghoa
677	| coughing	| ho
678	| could	| có thể
679	| council	| hội đồng
680	| count	| đếm, tính
681	| counter	| quầy hàng, quầy thu tiền, máy đếm
682	| country	| nước, quốc gia, đất nước
683	| countryside	| miền quê, miền nông thôn
684	| county	| hạt, tỉnh
685	| couple	| đôi, cặp; đôi vợ chồng, cặp nam nữ. a couple một cặp, một đôi
686	| courage	| sự can đảm, sự dũng cảm, dũng khí
687	| course	| tiến trình, quá trình diễn tiến; sân chạy đua. of course dĩ nhiên, loạt; khoá; đợt; lớp
688	| court	| sân, sân (tennis...), tòa án, quan tòa, phiên tòa
689	| cousin	| anh em họ
690	| cover	| bao bọc, che phủ; vỏ, vỏ bọc
691	| covered	| có mái che, kín đáo
692	| covering	| sự bao bọc, sự che phủ, cái bao, bọc
693	| cow	| con bò cái
694	| crack	| cừ,xuấtsắc;làmnứt,làm vỡ,nứtnẻ,rạnnứt
695	| cracked	| rạn, nứt
696	| craft	| nghề, nghề thủ công
697	| crash	| vải thô;sự rơi(máybấy),sựphásản,sụpđổ;phátantành,phávụ
698	| crazy	| điên, mất trí
699	| cream	| kem
700	| create	| sáng tạo, tạo nên
701	| creature	| sinh vật, loài vật
702	| credit	| sựtin,lòngtin,danh tiếng;tiền gửngânhàng
703	| credit card	| thẻ tín dụng
704	| crime	| tội, tội ác, tội phạm
705	| criminal	| có tội, phạm tội; kẻ phạm tội, tội phạm
706	| crisis	| sự khủng hoảng, cơn khủng hoảng
707	| crisp	| giòn
708	| criterion	| tiêu chuẩn
709	| critical	| phê bình, phê phán; khó tính
710	| criticism	| sựphêbình,sựphêphán,lờiphêbình,lờiphêphán
711	| criticize	| phê bình, phê phán, chỉ trích
712	| crop	| vụ mùa
713	| cross	| câythánhgiá,nỗithốngkhổ;sựbăng qua; băng qua,vượtqua
714	| crowd	| đám đông
715	| crowded	| đông đúc
716	| crown	| vương miện, vua, ngai vàng; đỉnh cao nhất
717	| crucial	| quyết định, cốt yếu, chủ yếu
718	| cruel	| độc ác, dữ tợn, tàn nhẫn
719	| crush	| ép, vắt, đè nát, đè bẹp
720	| cry	| khóc, kêu la; sự khóc, tiếng khóc, sự kêu la
721	| cultural	| (thuộc) văn hóa
722	| culture	| văn hóa, sự mở mang, sự giáo dục
723	| cup	| tách, chén
724	| cupboard	| 1 loại tủ có ngăn
725	| curb	| kiềm chế, nén lại, hạn chế
726	| cure	| chữa trị, điều trị; cách chữa bệnh, cách điều trị; thuốc
727	| curious	| ham muốn, tò mò, lạ lùng
728	| curiously	| tò mò, hiếu kỳ, lạ kỳ
729	| curl	| quăn, xoắn, uốn quăn, làm xoắn; sự uốn quăn
730	| curly	| quăn, xoắn
731	| current	| hiện hành, phổ biến, hiện nấy; dòng (nước), luống (gió)
732	| currently	| hiện thời, hiện nay
733	| curtain	| màn (cửa, rạp hát, khói, sương)
734	| curve	| đường cong, đường vòng; cong, uốn cong, bẻ cong
735	| curved	| cong
736	| custom	| phong tục, tục lệ, thói quen, tập quán
737	| customer	| khách hàng
738	| customs	| thuế nhập khẩu, hải quan
739	| cut	| cắt, chặt; sự cắt
740	| cycle	| chukỳ,chutrình,vòng;quayvòngtheo chukỳ,đixeđạp
741	| cycling	| sự đi xe đạp
742	| dad	| bố, cha
743	| daily	| hàng ngày
744	| damage	| mốihạn,điều hại, sựthiệthại;làmhưhại,làmhỏng,gâythiệthại
745	| damp	| ẩm, ẩm ướt, ẩm thấp
746	| dance	| sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ
747	| dancer	| diễn viên múa, người nhảy múa
748	| dancing	| sự nhảy múa, sự khiêu vũ
749	| danger	| sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa
750	| dangerous	| nguy hiểm
751	| dare	| dám, dám đương đầu với; thách
752	| dark	| tối, tối tăm; bóng tối, ám muội
753	| data	| số liệu, dữ liệu
754	| date	| ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu
755	| daughter	| con gái
756	| day	| ngày, ban ngày
757	| dead	| chết, tắt
758	| deaf	| điếc, làm thinh, làm ngơ
759	| deal	| phân phát, phân phối; sự giao dịch, thỏa thuận mua bán. deal with giải quyết
760	| dear	| thân, thân yêu, thân mến; kính thưa, thưa
761	| death	| sự chết, cái chết
762	| debate	| cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi
763	| debt	| nợ
764	| decade	| thập kỷ, bộ mười, nhóm mười
765	| decay	| tình trạng suy tàn, suy sụp, tình trạng đổ nát
766	| december (abbr dec)	| tháng mười hai, tháng chạp
767	| decide	| quyết định, giải quyết, phân xử
768	| decision	| sự quyết định, sự giải quyết, sự phân xử
769	| declare	| tuyên bố, công bố
770	| decline	| sự suy tàn, sự suy sụp; suy sụp, suy tàn
771	| decorate	| trang hoàng, trang trí
772	| decoration	| sự trang hoàng, đồ trang hoàng, trang trí
773	| decorative	| để trang hoàng, để trang trí, để làm cảnh
774	| decrease	| giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
775	| deep	| sâu, khó lường, bí ẩn
776	| deeply	| sâu, sâu xa, sâu sắc
777	| defeat	| đánh thắng, đánh bại; sự thất bại (1 kế hoạch), sự tiêu tan (hyvọng..)
778	| defence	| cái để bảo vệ, vật để chống đỡ, sự che chở
779	| defend	| che chở, bảo vệ, bào chữa
780	| define	| định nghĩa
781	| definite	| xác định, định rõ, rõ ràng
782	| definitely	| rạch ròi, dứt khoát
783	| definition	| sự định nghĩa, lời định nghĩa
784	| degree	| mức độ, trình độ; bằng cấp; độ
785	| delay	| sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
786	| deliberate	| thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
787	| deliberately	| thận trọng, có suy nghĩ cân nhắc
788	| delicate	| thanh nhã, thanh tú,tếnhị,khóxử
789	| delight	| sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say mê
790	| delighted	| vui mừng, hài lòng
791	| deliver	| cứu khỏi, thoát khỏi, bày tỏ, giãi bày
792	| delivery	| sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu
793	| demand	| sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
794	| demonstrate	| chứng minh, giải thích; bày tỏ, biểu lộ
795	| dentist	| nha sĩ
796	| deny	| từ chối, phản đối, phủ nhận
797	| department	| cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
798	| departure	| sự rời khỏi, sự đi, sự khởi hành
799	| depend	| phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
800	| deposit	| vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
801	| depress	| làm chán nản, làm phiền muộn; làm suy giảm
802	| depressed	| chán nản, thất vọng, phiền muộn; suy yếu, đình trệ
803	| depressing	| làm chán nản làm thát vọng, làm trì trệ
804	| depth	| chiều sâu, độ dày
805	| derive	| nhậnđượctừ,lấyđượctừ;xuất pháttừ, bắtnguồn,chuyểnhóatừ (from)
806	| describe	| diễn tả, miêu tả, mô tả
807	| description	| sự mô tả, sự tả, sự miêu tả
808	| desert	| sa mạc; công lao, giá trị; rời bỏ, b trốn
809	| deserted	| hoang vắng, không người ở
810	| deserve	| đáng, xứng đáng
811	| design	| sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế
812	| desire	| ước muốn; thèm muốn, ao ước
813	| desk	| bàn (học sinh, viết, làm việc)
814	| desperate	| liều mạng, liều lĩnh; tuyệt vọng
815	| desperately	| liều lĩnh, liều mạng
816	| despite	| dù, mặc dù, bất chấp
817	| destroy	| phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
818	| destruction	| sự phá hoại, sự phá hủy, sự tiêu diệt
819	| detail	|  chi tiết. in detail: tường tận, tỉ mỉ
820	| detailed	| cặn kẽ, tỉ mỉ, nhiều chi tiết
821	| determination	| sự xác định, sự định rõ; sự quyết định
822	| determine	| xác định, định rõ; quyết định
823	| determined	| đã được xác định, đã được xác định rõ
824	| develop	| pháttriển,mởrộng;trìnhbày,bàytỏ
825	| development	| sựpháttriển,sựtrìnhbày,sự bàytỏ
826	| device	| kế sách; thiết bị, dụng cụ, máy móc
827	| devote	| hiếndâng, dànhhếtcho
828	| devoted	| hiếncho,dângcho,dànhcho; hếtlòng, nhiệttình
829	| diagram	| biểu đồ
830	| diamond	| kim cương
831	| diary	| sổ nhật ký; lịch ghi nhớ
832	| dictionary	| từ điển
833	| die	| chết, tư trần, hy sinh
834	| diet	| chế độ ăn uống, chế độ ăn kiêng
835	| difference	| sự khác nhau
836	| different	| khác, khác biệt, khác nhau
837	| differently	| khác, khác biệt, khác nhau
838	| difficult	| khó, khó khăn, gấy go
839	| difficulty	| sự khó khăn, nỗi khó khăn, điều cản trở
840	| dig	| đào bới, xới
841	| dinner	| bữa trưa, chiều
842	| direct	| trực tiếp, thẳng, thẳng thắn; gửi, viết cho ai, điều khiển
843	| direction	| sự điều khiển, sự chỉ huy
844	| directly	| trực tiếp, thẳng
845	| director	| giám đốc, người điều khiển, chỉ huy
846	| dirt	| đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
847	| dirty	| bẩn thỉu, dơ bẩn
848	| disabled	| bất lực, không có khả năng
849	| disadvantage	| sự bất lợi, sự thiệt hại
850	| disagree	| bất đồng, không đồng ý, khác, không giống; không hợp
851	| disagreement	| sự bấtđồng,sựkhôngđồngý,sựkhácnhau
852	| disappear	| biến mất, biến đi
853	| disappoint	| không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại
854	| disappointed	| thất vọng
855	| disappointing	| làm chán ngán, làm thất vọng
856	| disappointment	| sự chán ngán, sự thất vọng
857	| disapproval	| sự phản đổi, sự không tán thành
858	| disapprove	| không tán thành, phản đối, chê
859	| disapproving	| phản đối
860	| disaster	| tai họa, thảm họa
861	| disc, disk	| đĩa
862	| discipline	| kỷ luật
863	| discount	| sựbớtgiá, sự chiếtkhấu,tiềnbớtchiếtkhấu
864	| discover	| khám phá, phát hiện ra, nhận ra
865	| discovery	| sự khám phá, sự tìm ra, sự phát hiện ra
866	| discuss	| thảo luận, tranh luận
867	| discussion	| sự thảo luận, sự tranh luận
868	| disease	| căn bệnh, bệnh tật
869	| disgust	| làm ghê tởm, làm kinh tởm, làm phẫn nộ
870	| disgusted	| chán ghét,phẫnnộ
871	| disgusting	| làm ghê tởm, kinh tởm
872	| dish	| đĩa (đựng thức ăn)
873	| dishonest	| bất lương, không thành thật
874	| dishonestly	| bất lương, không lương thiện
875	| disk	| đĩa,đĩahát
876	| dislike	| sựkhôngưa,khôngthích,sựghé
877	| dismiss	| giải tán (quân đội, đám đông); sa thải (người làm)
878	| display	| bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
879	| dissolve	| tan rã, phân hủy, giải tán
880	| distance	| khoảng cách, tầm xa
881	| distinguish	| phân biệt, nhận ra, nghe ra
882	| distribute	| phân bổ, phân phối, sắp xếp, phâ loại
883	| distribution	| sự phân bổ, sự phân phối, phân phát, sự sắp xếp
884	| district	| huyện, quận
885	| disturb	| làm mất yên tĩnh, làm náo động, quấy rầy
886	| disturbing	| xáo trộn
887	| divide	| chia, chia ra, phân ra
888	| division	| sự chia, sự phân chia, sự phân loại
889	| divorce	| sự ly dị
890	| divorced	| đã ly dị
891	| do	| làm
892	| doctor (abbr dr)	| bác sĩ y khoa, tiến sĩ
893	| document	| văn kiện, tài liệu, tư liệu
894	| dog	| chó
895	| dollar	| đô la mỹ
896	| domestic	| vậtnuôitrongnhà,(thuộc)nộitrợ,quốcnội
897	| dominate	| chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
898	| door	| cửa, cửa ra vào
899	| dot	| chấm nhỏ, điểm; của hồi môn
900	| double	| đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
901	| doubt	| sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
902	| down	| xuống
903	| downstairs	| ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
904	| downward	| xuống, đi xuống
905	| downwards	| xuống, đi xuống
906	| dozen	| tá (12)
907	| draft	| bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
908	| drag	| lôi kéo, kéo lê
909	| drama	| kịch, tuồng
910	| dramatic	| như kịch, như đóng kịch, thích hợp với sân khấu
911	| dramatically	| đột ngột
912	| draw	| vẽ, kéo
913	| drawer	| người vẽ, người kéo
914	| drawing	| bản vẽ, bức vẽ, sự kéo
915	| dream	| giấc mơ, mơ
916	| dress	| quần áo, mặc (quần áo), ăn mặc
917	| dressed	| cách ăn mặc
918	| drink	| đồ uống; uống
919	| drive	| lái , đua xe; cuộc đua xe (điều khiển)
920	| driver	| người lái xe
921	| driving	| sự lái xe, cuộc đua xe
922	| drop	| chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
923	| drug	| thuốc, dược phẩm; ma túy
924	| drugstore	| hiệu thuốc, cửa hàng dược phẩm
925	| drum	| cái trống, tiếng trống
926	| drunk	| say rượu
927	| dry	| khô, cạn;làmkhô,sấykhô
928	| due	| đến kỳ hạn (trả nợ); xứng đáng, thích đáng. due to vì, do, tại, nhờ có
929	| dull	| chậmhiểu, nguđần
930	| dump	| đổ rác; đống rác, nơi đổ rác
931	| during	| trong lúc, trong thời gian
932	| dust	| bụi, rác; rắc (bụi, phấn), quét bụi, phủi bụi
933	| duty	| sự tôn kính, kính trọng; bồn phận, trách nhiệm
934	| dvd	| đĩa dvd
935	| dying	| sự chết
936	| e.g.	| viếttắtcủa cụmtưlatinh exemplgratia(forexample)
937	| each	| mỗi
938	| each other	| nhau, lẫn nhau
939	| ear	| tai
940	| early	| sớm
941	| earn	| kiếm (tiền), giành (phần thưởng)
942	| earth	| đất, trái đất
943	| ease	| sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
944	| easily	| dễ dàng
945	| east	| hướngđông,phíađông,(thuộc)đông,ởphíađông
946	| eastern	| đông
947	| easy	| dễ dàng, dễ tính, ung dung
948	| eat	| ăn
949	| economic	| (thuộc) kinh tế
950	| economy	| sự tiết kiệm, sự quản lý kinh tế
951	| edge	| lưỡi, cạnh sắc
952	| edition	| nhà xuất bản, sự xuất bản
953	| editor	| người thu thập và xuất bản, chủ bút
954	| educate	| giáo dục, cho ăn học; rèn luyện
955	| educated	| được giáo dục, được đào tạo
956	| education	| sự giáo dục, sự rèn luyện (kỹ năng)
957	| effect	| hiệu ứng, hiệu quả, kết quả
958	| effective	| có kết quả, có hiệu lực
959	| effectively	| có kết quả, có hiệu lực
960	| efficient	| có hiệu lực, có hiệu quả
961	| efficiently	| có hiệu quả, hiệu nghiệm
962	| effort	| sự cố gắng, sự nỗ lực
963	| egg	| trứng
964	| either	| mỗi, một; cũng phải thế
965	| elbow	| khuỷu tay
966	| elderly	| có tuổi, cao tuổi
967	| elect	| bầu, quyết định
968	| election	| sự bầu cử,cuộctuyểncử
969	| electric	| (thuộc) điện, có điện, phát điện
970	| electrical	| (thuộc) điện
971	| electricity	| điện, điện lực; điện lực học
972	| electronic	|  (thuộc) điện tử
973	| elegant	| thanh lịch, tao nhã
974	| element	| yếu tố, nguyên tố
975	| elevator	| máy nâng, thang máy
976	| else	| khác, nữa; nếu không
977	| elsewhere	| ở một nơi nào khác
978	| email, e	| mail
979	| embarrass	| lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
980	| embarrassed	| lúng túng, bối rối, ngượng; mang nợ
981	| embarrassing	| làm lúng túng, ngăn trở
982	| embarrassment	| sự lúng túng, sự bối rối
983	| emerge	| nổi lên, hiện ra; nổi bật lên
984	| emergency	| tình trạng khẩn cấp
985	| emotion	| xự xúc động, sự cảm động, mối xác cảm
986	| emotional	| cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
987	| emotionally	| xúc động
988	| emphasis	| sự nhấn mạnh, tầm quan trọng
989	| emphasize	| nhấn mạnh, làm nổi bật
990	| empire	| đế chế, đế quốc
991	| employ	| dùng, thuê ai làm gì
992	| employee	| người lao động, người làm công
993	| employer	| chủ, người sử dụng lao động
994	| employment	| sự thuê mướn
995	| empty	| trống, rỗng; đổ, dốc; uống, làm cạn
996	| enable	| làm cho có thể, có khả năng; cho phép ai làm gì
997	| encounter	| chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
998	| encourage	| động viên, ủng hộ, giúp đỡ, làm cấn đảm, mạnh dạn
999	| encouragement	| niềm cổ vũ, động viên, khuyến khích
1000	| end	| giới hạn, sự kết thúc; kết thúc, chấm dứt. in the end cuối cùng, v sau
1001	| ending	| sự kết thúc, sự chấm dứt; phần cuối, kết cục
1002	| enemy	| kẻ thù, quân địch
1003	| energy	| năng lượng, nghị lực, sinh lực
1004	| engage	| hứa hẹn, cam kết, đính ước
1005	| engaged	| đã đính ước, đã hứa hôn; đã có người
1006	| engine	| máy, động cơ
1007	| engineer	| kỹ sư
1008	| engineering	| nghề kỹ sư, công việc của kỹ sư
1009	| enjoy	| thưởng thức, thích thú cái gì, được hưởng, có được
1010	| enjoyable	| thú vị, thích thú
1011	| enjoyment	| sự thích thú, sự có được, được hưởng
1012	| enormous	| to lớn, khổng lồ
1013	| enough	| đủ
1014	| enquiry	| sự điều tra, sự thẩm vấn
1015	| ensure	| bảo đảm, chắc chắn
1016	| enter	| đi vào, gia nhập
1017	| entertain	| giải trí, tiếp đón, chiêu đãi
1018	| entertainer	| người quản trò, người tiếp đãi, chiêu đãi
1019	| entertaining	| giải trí
1020	| entertainment	| sự giải trí, sự tiếp đãi, chiêu đãi
1021	| enthusiasm	| sự hăng hái, sự nhiệt tình
1022	| enthusiastic	| hăng hái, say mê, nhiệt tình
1023	| entire	| toàn thể, toàn bộ
1024	| entirely	| toàn vẹn, trọn vẹn, toàn bộ
1025	| entitle	| cho tiêu đề, cho tên (sách); cho quyền làm gì
1026	| entrance	| sự đi vào, sự nhậm chức
1027	| entry	| sự ghi vào sổ sách, sự đi vào, sự tiếp nhận (pháp lý)
1028	| envelope	| phong bì
1029	| environment	| môi trường, hoàn cảnh xung quanh
1030	| environmental	| thuộc về môi trường
1031	| equal	| ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang
1032	| equally	| bằng nhau, ngang bằng
1033	| equipment	| trang, thiết bị
1034	| equivalent	| tương đương; tư, vật tương đương
1035	| error	| lỗi, sự sai sót, sai lầm
1036	| escape	| trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
1037	| especially	| đặc biệt là, nhất là
1038	| essay	| bài tiểu luận
1039	| essential	| bản chất, thực chất, cốt yếu; yếu tố cần thiết
1040	| essentially	| vềbảnchất,vềcơbản
1041	| establish	| lập, thành lập
1042	| estate	| tài sản, di sản, bất động sản
1043	| estimate	| sự ước lượng, đánh giá; ước lượng, đánh giá
1044	| etc., et cetera	| vân vân
1045	| euro	| đơn vị tiền tệ của liên minh châu âu
1046	| even	| ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng
1047	| evening	| buổi chiều, tối
1048	| event	| sự việc, sự kiện
1049	| eventually	| cuối cùng
1050	| ever	| từng, từ trước tới giờ
1051	| every	| mỗi, mọi
1052	| everyone, everybody	| mọi người
1053	| everything	| mọi vật, mọi thứ
1054	| everywhere	| mọi nơi
1055	| evidence	| điều hiển nhiên, điều rõ ràng
1056	| evil	| xấu,ác; điềuxấu,điều ác, điều taihại
1057	| ex	| null
1058	| exact	| chính xác, đúng
1059	| exactly	| chính xác, đúng đắn
1060	| exaggerate	| cường điệu, phóng đại
1061	| exaggerated	| cường điệu, phòng đại
1062	| exam	| viết tắt của examination (xem nghĩa phía dưới)
1063	| examination	| sự thi cử, kỳ thi
1064	| examine	| thẩm tra, khám xét, hỏi han (thí sinh)
1065	| example	| thí dụ, ví dụ
1066	| explode	| đập tan (hy vọng...), làm nổ, nổ
1067	| explore	| thăm dò, thám hiểm
1068	| explosion	| sự nổ, sự phát triển ồ ạt
1069	| export	| xuất khẩu; hàng xuất khẩu, sự xuất khẩu
1070	| expose	| trưng bày, phơi bày
1071	| express	| diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
1072	| expression	| sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
1073	| extend	| giơ, duỗi ra (tay, châ(n).); kéo dài (thời gia(n).), dành cho, gửi lời
1074	| extension	| sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
1075	| extensive	| rộng rãi, bao quát
1076	| extent	| quy mô, phạm vi
1077	| extra	| thêm, phụ, ngoại; thứ thêm, phụ
1078	| extraordinary	| đặc biệt, lạ thường, khác thường
1079	| extreme	| vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
1080	| extremely	| vô cùng, cực độ
1081	| eye	| mắt
1082	| face	| mặt,thểdiện; đươngđầu,đốiphóđốimặt
1083	| facility	| điều kiện dễ dàng, sự dễ dàng, thuận lợi
1084	| fact	| việc, sự việc, sự kiện
1085	| factor	| nhân tố
1086	| factory	| nhà máy, xí nghiệp, xưởng
1087	| fail	| sai, thất bại
1088	| failure	| sự thất bại, người thất bại
1089	| faint	| nhút nhát, yếu ớt
1090	| faintly	| nhút nhát, yếu ớt
1091	| fair	| hợp lý, công bằng; thuận lợi
1092	| fairly	| hợp lý, công bằng
1093	| faith	| sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
1094	| faithful	| trung thành, chung thủy, trung thực
1095	| faithfully	| trung thành, chung thủy, trung thực. yours faithfully bạn chân thành
1096	| fall	| rơi, ngã, sự rơi, ngã. fall over ngã lộn nhào, bị đổ
1097	| fame	| tên tuổi, danh tiếng
1098	| familiar	| thân thiết, quen thộc
1099	| family	| gia đình, thuộc gia đình
1100	| famous	| nổi tiếng
1101	| fan	| người hâm mộ
1102	| fancy	| tưởng tượng, cho, nghĩ rằng; tưởng tượng
1103	| far	| xa
1104	| farm	| trang trại
1105	| farmer	| nông dân, người chủ trại
1106	| farming	| công việc trồng trọt, đồng áng
1107	| fashion	| mốt, thời trang
1108	| fashionable	| đúng mốt, hợp thời trang
1109	| fast	| nhanh
1110	| fasten	| buộc, trói
1111	| fat	| béo, béo bở; mỡ, chất béo
1112	| father	| cha (bố)
1113	| faucet	| vòi(ởthùngrượu)
1114	| fault	| sự thiết sót, sai sót
1115	| favour	| thiệný,sựquý mến;sựđồngý;sự chiếu cố.infavour/favor(of):ủnghộ cái gì(tobeinfavourofsomething )
1116	| favourite	| được ưa thích; người (vật) được ưa thích
1117	| fear	| sự sợ hãi, e sợ; sợ, lo ngại
1118	| feather	| lông chim
1119	| feature	| nétđặt biệt, điểm đặctrưng;môtảnétđặc biệt, đặctrưngcủa…
1120	| february (abbr feb)	| tháng 2
1121	| federal	| liên bang
1122	| fee	| tiền thù lao, học phí
1123	| feed	| cho ăn, nuôi
1124	| feel	| cảm thấy
1125	| feel sick	| buồn nôn
1126	| feeling	| sự cảm thấy, cảm giác
1127	| fellow	| anh chàng (đáng yêu), đồng chí
1128	| female	| thuộc giống cái; giống cái
1129	| fence	| hàng rào
1130	| festival	| lễ hội, đại hội liên hoan
1131	| fetch	| tìmvề,đemvề;làmbựcmình;làmsay mê,quyếnrũ
1132	| fever	| cơn sốt, bệnh sốt
1133	| few	| ít,vài; một ít, một vài. a few một ít, một vài
1134	| field	| cánh đồng, bãi chiến trường
1135	| fight	| đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu
1136	| fighting	| sự chiến đấu, sự đấu tranh
1137	| figure	| hình dáng, nhân vật; hình dung, miêu tả
1138	| file	| hồ sơ, tài liệu
1139	| fill	| làm đấy, lấp kín
1140	| film	| phim,đượcdựngthànhphim
1141	| final	| cuối cùng, cuộc đấu chung kết
1142	| finally	| cuối cùng, sau cùng
1143	| finance	| tài chính; tài trợ, cấp vốn
1144	| financial	| thuộc (tài chính)
1145	| find	| tìm, tìm thấy. find out sth: khám phá, tìm ra
1146	| fine	| tốt, giỏi
1147	| finely	| đẹp đẽ, tế nhị, cao thượng
1148	| finger	| ngón tay
1149	| finish	| kết thúc, hoàn thành; sự kết thúc, phần cuối
1150	| finished	| hoàntất,hoànthành
1151	| fire	| lửa; đốt cháy. set fire to: đốt cháy cái gì
1152	| firm	| hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ
1153	| firmly	| vững chắc, kiên quyết
1154	| first	| thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất. at first trực tiếp
1155	| fish	| cá, món cá; câu cá, bắt cá
1156	| fishing	| sự câu cá, sự đánh cá
1157	| fit	| hợp, vưa; thích hợp, xứng đáng
1158	| fix	| đóng, gắn, lắp; sửa chữa, sửa sang
1159	| fixed	| đứng yên, bất động
1160	| flag	| quốc kỳ
1161	| flame	| ngọn lửa
